,"ON and
OFF inputs_x","ON and
OFF inputs_y","ON input
only_x","ON input
only_y"
360,-3.146,-0.25676707247845937,-3.146,-0.01671108364404362
361,-3.144,-0.25677681916727907,-3.144,-0.016702330645487217
362,-3.1420000000000003,-0.256786322299983,-3.1420000000000003,-0.016693674305090975
363,-3.14,-0.25679558511582384,-3.14,-0.0166851138050458
364,-3.138,-0.2568046108507275,-3.138,-0.01667664834649133
365,-3.136,-0.2568134027372932,-3.136,-0.01666827714951598
366,-3.1340000000000003,-0.2568219640047934,-3.1340000000000003,-0.016659999453156906
367,-3.132,-0.2568302978791737,-3.132,-0.016651814515400012
368,-3.13,-0.25683840758305315,-3.13,-0.01664372161317996
369,-3.128,-0.2568462963357238,-3.128,-0.01663572004238016
370,-3.1260000000000003,-0.25685396735315114,-3.1260000000000003,-0.016627809117832782
371,-3.124,-0.25686142384797384,-3.124,-0.016619988173318744
372,-3.122,-0.2568686690295037,-3.122,-0.016612256561567708
373,-3.12,-0.256875706103726,-3.12,-0.016604613654258103
374,-3.1180000000000003,-0.2568825382732991,-3.1180000000000003,-0.016597058842017103
375,-3.116,-0.2568891687375546,-3.116,-0.01658959153442063
376,-3.114,-0.25689560069249745,-3.114,-0.016582211159993365
377,-3.112,-0.2569018373308057,-3.112,-0.016574917166208743
378,-3.1100000000000003,-0.25690788184183083,-3.1100000000000003,-0.016567709019488938
379,-3.108,-0.25691373741159734,-3.108,-0.01656058620520489
380,-3.106,-0.25691940722280326,-3.106,-0.016553548227676285
381,-3.104,-0.25692489445481953,-3.104,-0.016546594610171567
382,-3.1020000000000003,-0.2569302022836907,-3.1020000000000003,-0.01653972489490792
383,-3.1,-0.25693533388213413,-3.1,-0.016532938643051297
384,-3.098,-0.2569402924195409,-3.098,-0.016526235434716388
385,-3.096,-0.256945081061975,-3.096,-0.016519614868966644
386,-3.0940000000000003,-0.25694970297217373,-3.0940000000000003,-0.016513076563814264
387,-3.092,-0.2569541613095478,-3.092,-0.016506620156220207
388,-3.09,-0.2569584592301809,-3.09,-0.01650024530209417
389,-3.088,-0.25696259988683023,-3.088,-0.016493951676294614
390,-3.0860000000000003,-0.256966586428926,-3.0860000000000003,-0.016487738972628747
391,-3.084,-0.25697042200257186,-3.084,-0.016481606903852534
392,-3.082,-0.2569741097505446,-3.082,-0.01647555520167069
393,-3.08,-0.2569776528122942,-3.08,-0.016469583616736675
394,-3.0780000000000003,-0.256981054323944,-3.0780000000000003,-0.016463691918652715
395,-3.076,-0.25698431741829064,-3.076,-0.016457879895969776
396,-3.074,-0.2569874452248039,-3.074,-0.016452147356187583
397,-3.072,-0.25699044086962664,-3.072,-0.01644649412575461
398,-3.0700000000000003,-0.2569933074755753,-3.0700000000000003,-0.016440920050068086
399,-3.068,-0.2569960481621394,-3.068,-0.01643542344531326
400,-3.066,-0.25699866604548166,-3.066,-0.016429982398128606
401,-3.064,-0.2570011642384381,-3.064,-0.016424590138960055
