,"_ON input
only_x","_ON input
only_y"
591,-2.684,-0.016045167513205054
592,-2.6820000000000004,-0.016045064200435197
593,-2.68,-0.016044997527863064
594,-2.678,-0.016044967095468442
595,-2.676,-0.01604497245434045
596,-2.6740000000000004,-0.016045013106677553
597,-2.672,-0.016045088505787553
598,-2.67,-0.016045198056087593
599,-2.668,-0.016045341113104152
600,-2.6660000000000004,-0.016045516983473056
601,-2.664,-0.01604572492493946
602,-2.662,-0.016045964146357866
603,-2.66,-0.016046233807692118
604,-2.6580000000000004,-0.01604653302001539
605,-2.656,-0.016046860845510207
606,-2.654,-0.016047216297468428
607,-2.652,-0.016047598340291246
608,-2.6500000000000004,-0.016048005889489205
609,-2.648,-0.016048437811682182
610,-2.646,-0.016048892924599392
611,-2.644,-0.016049369997079396
612,-2.6420000000000003,-0.01604986774907009
613,-2.64,-0.01605038485162871
614,-2.638,-0.01605091992692183
615,-2.636,-0.016051471548225373
616,-2.6340000000000003,-0.01605203823992459
617,-2.632,-0.016052618477514078
618,-2.63,-0.01605321068759777
619,-2.628,-0.016053813247888942
620,-2.6260000000000003,-0.016054424487210207
621,-2.624,-0.01605504268549352
622,-2.622,-0.01605566607378018
623,-2.62,-0.016056292834220814
624,-2.6180000000000003,-0.016056921100075394
625,-2.616,-0.016057548955713236
626,-2.614,-0.01605817443661299
627,-2.612,-0.016058795529362648
628,-2.6100000000000003,-0.016059410171659547
629,-2.608,-0.016060016252310353
630,-2.606,-0.01606061161123108
631,-2.604,-0.01606119403944707
632,-2.6020000000000003,-0.016061761279093027
633,-2.6,-0.016062311023412972
634,-2.598,-0.016062840916760274
635,-2.596,-0.016063348554597647
636,-2.5940000000000003,-0.01606383148349714
637,-2.592,-0.016064287201140136
638,-2.59,-0.016064713156317367
639,-2.588,-0.0160651067489289
640,-2.5860000000000003,-0.01606546532998414
641,-2.584,-0.01606578620160184
642,-2.582,-0.016066066617010086
643,-2.58,-0.0160663037805463
644,-2.5780000000000003,-0.01606649484765725
645,-2.576,-0.016066636924899045
646,-2.574,-0.016066727069937125
647,-2.572,-0.016066762291546275
648,-2.5700000000000003,-0.016066739549610628
649,-2.568,-0.01606665575512364
650,-2.566,-0.01606650777018812
651,-2.564,-0.016066292408016207
652,-2.5620000000000003,-0.016066006432929388
653,-2.56,-0.016065646560358488
654,-2.558,-0.016065209456843664
655,-2.556,-0.01606469174003442
656,-2.5540000000000003,-0.016064089978689605
657,-2.552,-0.016063421720361296
658,-2.55,-0.01606272169757461
659,-2.548,-0.016061992763774676
660,-2.5460000000000003,-0.016061237222130355
661,-2.544,-0.016060457331483185
662,-2.542,-0.01605965530634739
663,-2.54,-0.01605883331690989
664,-2.5380000000000003,-0.016057993489030267
665,-2.536,-0.01605713790424081
666,-2.534,-0.016056268599746487
667,-2.532,-0.016055387568424943
668,-2.5300000000000002,-0.016054496758826517
669,-2.528,-0.016053598075174227
670,-2.526,-0.016052693377363782
671,-2.524,-0.016051784480963574
672,-2.5220000000000002,-0.016050873157214672
673,-2.52,-0.01604996113303084
674,-2.518,-0.016049050090998527
675,-2.516,-0.016048141669376858
676,-2.5140000000000002,-0.01604723746209765
677,-2.512,-0.016046339018765406
678,-2.51,-0.016045447844657307
679,-2.508,-0.01604456540072323
680,-2.5060000000000002,-0.01604369310358572
681,-2.504,-0.01604283232554003
682,-2.502,-0.016041984394554076
683,-2.5,-0.016041150594268472
684,-2.498,-0.01604033216399651
685,-2.496,-0.016039530298724174
686,-2.4939999999999998,-0.016038746149110127
687,-2.492,-0.01603798082148572
688,-2.49,-0.016037235377854987
689,-2.488,-0.01603651083589465
690,-2.4859999999999998,-0.01603580816895411
691,-2.484,-0.016035128306055458
692,-2.482,-0.016034472131893473
693,-2.48,-0.01603384048683561
694,-2.4779999999999998,-0.016033234166922018
695,-2.476,-0.016032653923865527
696,-2.474,-0.016032100465051647
697,-2.472,-0.01603157445353858
698,-2.4699999999999998,-0.016031076508057213
699,-2.468,-0.01603060720301111
700,-2.466,-0.016030167068476535
701,-2.464,-0.016029756590202417
702,-2.4619999999999997,-0.01602937620961039
703,-2.46,-0.016029026323794753
704,-2.458,-0.01602870728552251
705,-2.4560000000000004,-0.016028419403233338
706,-2.454,-0.0160281629410396
707,-2.452,-0.016027938118726347
708,-2.45,-0.01602774511175131
709,-2.4480000000000004,-0.01602758405124491
710,-2.446,-0.01602745502401025
711,-2.444,-0.01602735807252313
712,-2.442,-0.016027293194932006
713,-2.4400000000000004,-0.01602726034505805
714,-2.438,-0.016027259432395104
