,control_x,control_y,strychnine_x,strychnine_y
200,0.20000000000000018,1.6666666666666665,0.20000000000000018,3.333333333333333
201,0.22000000000000064,2.5,0.22000000000000064,5.833333333333333
202,0.2400000000000002,3.333333333333333,0.2400000000000002,10.0
203,0.2600000000000007,4.166666666666666,0.2600000000000007,13.333333333333332
204,0.28000000000000025,4.166666666666666,0.28000000000000025,17.5
205,0.2999999999999998,5.0,0.2999999999999998,20.833333333333332
206,0.3200000000000003,5.833333333333333,0.3200000000000003,24.166666666666668
207,0.33999999999999986,6.666666666666666,0.33999999999999986,25.833333333333336
208,0.3600000000000003,8.333333333333332,0.3600000000000003,25.833333333333336
209,0.3799999999999999,10.0,0.3799999999999999,24.166666666666668
210,0.40000000000000036,11.666666666666666,0.40000000000000036,22.5
211,0.41999999999999993,12.5,0.41999999999999993,20.0
212,0.4400000000000004,14.166666666666666,0.4400000000000004,17.5
213,0.45999999999999996,15.0,0.45999999999999996,15.0
214,0.4800000000000004,15.833333333333332,0.4800000000000004,12.5
215,0.5,16.666666666666664,0.5,10.0
216,0.5200000000000005,17.5,0.5200000000000005,8.333333333333332
217,0.54,18.333333333333332,0.54,6.666666666666666
218,0.5600000000000005,18.333333333333332,0.5600000000000005,5.0
219,0.5800000000000001,18.333333333333332,0.5800000000000001,3.333333333333333
220,0.6000000000000005,17.5,0.6000000000000005,3.333333333333333
221,0.6200000000000001,16.666666666666664,0.6200000000000001,2.5
222,0.6400000000000006,15.833333333333332,0.6400000000000006,1.6666666666666665
223,0.6600000000000001,15.0,0.6600000000000001,1.6666666666666665
224,0.6800000000000006,12.5,0.6800000000000006,0.8333333333333333
225,0.7000000000000002,10.833333333333334,0.7000000000000002,0.8333333333333333
226,0.7200000000000006,8.333333333333332,0.7200000000000006,0.8333333333333333
227,0.7400000000000002,6.666666666666666,0.7400000000000002,0.0
228,0.7600000000000007,5.0,0.7600000000000007,0.0
229,0.7800000000000002,3.333333333333333,0.7800000000000002,0.0
230,0.8000000000000007,2.5,0.8000000000000007,0.0
231,0.8200000000000003,1.6666666666666665,0.8200000000000003,0.0
232,0.8399999999999999,0.8333333333333333,0.8399999999999999,0.0
233,0.8600000000000003,0.8333333333333333,0.8600000000000003,0.0
234,0.8799999999999999,0.0,0.8799999999999999,0.0
235,0.9000000000000004,0.0,0.9000000000000004,0.0
236,0.9199999999999999,0.0,0.9199999999999999,0.0
237,0.9400000000000004,0.0,0.9400000000000004,0.0
238,0.96,0.0,0.96,0.0
239,0.9800000000000004,0.0,0.9800000000000004,0.0
240,1.0,0.0,1.0,0.0
241,1.0200000000000005,0.0,1.0200000000000005,0.0
242,1.04,0.0,1.04,0.0
243,1.0600000000000005,0.0,1.0600000000000005,0.0
244,1.08,0.0,1.08,0.0
245,1.1000000000000005,0.0,1.1000000000000005,0.0
246,1.12,0.0,1.12,0.0
247,1.1400000000000006,0.0,1.1400000000000006,0.0
248,1.1600000000000001,0.0,1.1600000000000001,0.0
249,1.1800000000000006,0.0,1.1800000000000006,0.0
250,1.2000000000000002,0.0,1.2000000000000002,0.0
251,1.2200000000000006,0.0,1.2200000000000006,0.0
252,1.2400000000000002,0.0,1.2400000000000002,0.0
