,dynamic_x,dynamic_y,fixed_x,fixed_y
838,-1.046,-0.2572649636977614,-1.046,-0.2584842289201436
839,-1.044,-0.25727191322565623,-1.044,-0.25849141270691617
840,-1.042,-0.25727841220444225,-1.042,-0.25849815680590965
841,-1.04,-0.2572844307630179,-1.04,-0.25850443144813867
842,-1.038,-0.2572899385169865,-1.038,-0.2585102063494818
843,-1.036,-0.2572949045686564,-1.036,-0.25851545071068155
844,-1.034,-0.25729929750704056,-1.034,-0.2585201332173444
845,-1.032,-0.25730308540785696,-1.032,-0.25852422203994085
846,-1.03,-0.2573062358335283,-1.03,-0.2585276848338053
847,-1.028,-0.2573087158331822,-1.028,-0.2585304887391361
848,-1.026,-0.2573104919426511,-1.026,-0.25853260038099557
849,-1.024,-0.25731153018447234,-1.024,-0.25853398586931003
850,-1.022,-0.2573117960678881,-1.022,-0.2585346107988698
851,-1.02,-0.25731125458884535,-1.02,-0.2585344402493291
852,-1.018,-0.25730987022999596,-1.018,-0.258533438785206
853,-1.016,-0.2573076069606966,-1.016,-0.2585315704558828
854,-1.014,-0.25730442823700883,-1.014,-0.25852879879560553
855,-1.012,-0.2573002970016991,-1.012,-0.25852508682348424
856,-1.01,-0.25729517568423865,-1.01,-0.25852039704349306
857,-1.008,-0.257289030094448,-1.008,-0.2585146914444699
858,-1.006,-0.2572821492379277,-1.006,-0.25850804669105176
859,-1.004,-0.25727475393724697,-1.004,-0.2585008398062345
860,-1.002,-0.2572668759082616,-1.002,-0.2584931321531108
861,-1.0,-0.2572585463339126,-1.0,-0.2584849553734273
862,-0.998,-0.25724979586422664,-0.998,-0.25847634057245095
863,-0.996,-0.2572406546163156,-0.996,-0.2584673183189689
864,-0.994,-0.25723115217437703,-0.994,-0.25845791864528883
865,-0.992,-0.2572213175896938,-0.992,-0.25844817104723866
866,-0.99,-0.25721117938063415,-0.99,-0.25843810448416665
867,-0.988,-0.25720076553265186,-0.988,-0.25842774737894136
868,-0.986,-0.2571901034982861,-0.986,-0.25841712761795166
869,-0.984,-0.25717922019716155,-0.984,-0.2584062725511068
870,-0.982,-0.2571681420159882,-0.982,-0.25839520899183643
871,-0.98,-0.2571568948085616,-0.98,-0.2583839632170903
872,-0.978,-0.2571455038957627,-0.978,-0.2583725609673387
873,-0.976,-0.25713399406555776,-0.976,-0.25836102744657213
874,-0.974,-0.25712238957299866,-0.974,-0.2583493873223015
875,-0.972,-0.25711071414022263,-0.972,-0.25833766472555797
876,-0.97,-0.2570989909564524,-0.97,-0.25832588325089306
877,-0.968,-0.25708724267799604,-0.968,-0.2583140659563786
878,-0.966,-0.2570754914282471,-0.966,-0.25830223536360686
879,-0.964,-0.25706375879768456,-0.964,-0.25829041345769027
880,-0.962,-0.25705206584387286,-0.962,-0.2582786216872616
881,-0.96,-0.25704043309146185,-0.96,-0.2582668809644742
882,-0.958,-0.25702888053218687,-0.958,-0.25825521166500137
883,-0.956,-0.2570174276248686,-0.956,-0.258243633628037
884,-0.954,-0.2570060932954133,-0.954,-0.2582321661562952
885,-0.952,-0.25699489593681246,-0.952,-0.2582208280160105
886,-0.95,-0.2569838534091432,-0.95,-0.2582096374369376
887,-0.948,-0.256972983039568,-0.948,-0.25819861211235173
888,-0.946,-0.2569623016223348,-0.946,-0.25818776919904823
889,-0.944,-0.2569518254187769,-0.944,-0.258177125317343
890,-0.942,-0.25694157015731317,-0.942,-0.258166696551072
891,-0.94,-0.2569315510334477,-0.94,-0.25815649844759175
892,-0.938,-0.25692178270977034,-0.938,-0.25814654601777903
893,-0.9359999999999999,-0.25691227931595606,-0.9359999999999999,-0.25813685373603085
894,-0.9339999999999999,-0.25690305444876543,-0.9339999999999999,-0.2581274355402647
