,6 Hz_x,6 Hz_y,8 Hz_x,8 Hz_y,10 Hz_x,10 Hz_y,12 Hz_x,12 Hz_y,16 Hz_x,16 Hz_y
166,-1.2799999999999998,0.0,-1.2799999999999998,0.0,-1.2799999999999998,0.0,-1.2799999999999998,0.0,-1.2799999999999998,0.0
167,-1.27,0.0,-1.27,0.0,-1.27,0.0,-1.27,0.0,-1.27,0.0
168,-1.26,0.0,-1.26,0.0,-1.26,0.0,-1.26,0.0,-1.26,0.0
169,-1.25,0.0,-1.25,0.0,-1.25,0.0,-1.25,0.0,-1.25,0.0
170,-1.24,0.0,-1.24,0.0,-1.24,0.0,-1.24,0.0,-1.24,0.0
171,-1.23,0.0,-1.23,0.0,-1.23,0.0,-1.23,0.0,-1.23,0.0
172,-1.22,0.0,-1.22,0.0,-1.22,0.0,-1.22,0.0,-1.22,0.0
173,-1.21,0.0,-1.21,0.0,-1.21,0.0,-1.21,0.0,-1.21,0.0
174,-1.2,0.0,-1.2,0.0,-1.2,0.0,-1.2,0.0,-1.2,0.0
175,-1.19,0.0,-1.19,0.0,-1.19,0.0,-1.19,0.0,-1.19,0.0
176,-1.18,0.0,-1.18,0.0,-1.18,0.0,-1.18,0.0,-1.18,0.0
177,-1.17,0.0,-1.17,0.0,-1.17,0.0,-1.17,0.0,-1.17,0.0
178,-1.16,0.0,-1.16,0.0,-1.16,0.0,-1.16,0.0,-1.16,0.0
179,-1.15,0.0,-1.15,0.0,-1.15,0.0,-1.15,0.0,-1.15,0.0
180,-1.14,0.0,-1.14,0.0,-1.14,0.0,-1.14,0.0,-1.14,0.0
181,-1.13,0.0,-1.13,0.0,-1.13,0.0,-1.13,0.0,-1.13,0.0
182,-1.1199999999999999,0.0,-1.1199999999999999,0.0,-1.1199999999999999,0.0,-1.1199999999999999,0.0,-1.1199999999999999,0.0
183,-1.1099999999999999,0.0,-1.1099999999999999,0.0,-1.1099999999999999,0.0,-1.1099999999999999,0.0,-1.1099999999999999,0.0
184,-1.0999999999999999,0.0,-1.0999999999999999,0.0,-1.0999999999999999,0.0,-1.0999999999999999,0.0,-1.0999999999999999,0.0
